hotel|2020-01-01|2020-01-02|2020-01-03|2020-01-04|2020-01-05|2020-01-06|2020-01-07|2020-01-08|2020-01-09|2020-01-10|2020-01-11|2020-01-12|2020-01-13|2020-01-14|2020-01-15|2020-01-16|2020-01-17|2020-01-18|2020-01-19|2020-01-20|2020-01-21|2020-01-22|2020-01-23|2020-01-24|2020-01-25|2020-01-26|2020-01-27|2020-01-28|2020-01-29|2020-01-30
Hotel Dwór Kościuszko|428|257|314|409|238|238|238|238|238|314|314|238|238|238|238|238|314|314|238|238|238|238|238|314|314|238|238|238|238|238
Niebieski Art Hotel & Spa|440|410|410|410|360|320|320|320|320|420|420|420|320|320|320|340|420|420|320|320|320|320|340|420|395|320|320|320|320|340
Holiday Inn Krakow City Centre|540|400|400|352|316|316|316|316|316|316|292|292|352|510|320|320|292|292|292|950|356|356|348||440|520|520|360|332|475
Radisson Blu Hotel Krakow|603|379|369|340|311|379|379|379|379|369|340|311|379|379|379|379|423|340|311|598|452|462||369|501|||496|379|442
Hotel Unicus Palace|870|800|700|680|550|710|710|710|710|870|870|490|590|460|460|460|650|750|460|420|490|550|650|750|750|650|1050|550|550|550
Sheraton Grand Krakow|581|445|460|437|415|430|475|536|468|392|392|415|475|483|513|815|392|354|430|716|716|798|809|490|551|1055|1436|809|675|1106
Hotel Gródek|442|346|451|576|346|326|326|326|326|432|432|326|326|326|326|442|576|576|326|326|346|346|326|432|432|346|346|326|326|326
Balthazar Design Hotel|1049|959|900|950|950|655|658|619|648|803|803|619|658|619|619|648|648|750|619|658|658|658|648|792|932|727|619|619|619|750
Crown Piast Hotel & SPA|400|400|400|400|366|366|374|370|400|400|323|323|323|323|400|400|400|400|400|400|400|400|400|366|344|366|366|366|366|366
Bachleda Luxury Hotel Krakow MGallery By Sofitel|1280|760|760|760|640|640|640|700|700|700|760|640|640|640|640|640|700|700|640|640|760|840||920|1080|1160|1160|700|640|700
Grand Hotel|760|1088|1088|719|719|515|515|515|515|515|515|515|515|515|515|515|515|515|515|515|515|515|515|515|484|515|515|515|515|515
Hotel Stary|780|740|680|700|630|610|630|650|630|630|630|630|590|590|590|610|650|650|570|610|610|650|650|650|611||||570|590
Hotel Copernicus|1220|820|550|550|550|600|600|600|600|550|550|550|550|550|550|600|600|600|550|550|550|550|550|550|517||||550|600
Bonerowski Palace||574|574|574|574|574|574|765|574|574|669|669|669|669|669|782|782|782|701|701|574|574|574|574|719|701|574|574|765|574
