hotel|2019-12-12|2019-12-13|2019-12-14|2019-12-15|2019-12-16|2019-12-17|2019-12-18|2019-12-19|2019-12-20
Radisson Blu Hotel Krakow|1001|1458|1458|316|379|379|379|379|369
Niebieski Art Hotel & Spa|486|||410|360|380|360|360|360
Hotel Dwór Kościuszko|440|640|304|266|266|418|266|266|266
Balthazar Design Hotel|821|||605|605|605|605|605|727
Crown Piast Hotel & SPA|366|366|366|366|366|366|366|366|409
Bachleda Luxury Hotel Krakow MGallery By Sofitel|1450|1520|1520|760|700|700|640|700|760
Grand Hotel|699|6041|780|535|535|555|555|555|617
Hotel Copernicus|800|950|||650|550|550|550|550
Hotel Stary|900|880||760|760|720|680|680|720
Holiday Inn Krakow City Centre||650|650|400|400|400|400|360|342
Hotel Unicus Palace||690|1310|420|420|420|420|420|420
Sheraton Grand Krakow|||1373|440|354|332|324|286|309
Hotel Gródek||||361|361|461|361|361|476
Bonerowski Palace||||850|542|723|542|542|637
